RegionCode,City,State,Country,Countrylatitude,Countrylongitude,Region,Market
R0041,San Justo,Santa Fe,Argentina,-38.416097,-63.616672,South America,LATAM
R0042,Mar del Plata,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0043,Avellaneda,Santa Fe,Argentina,-38.416097,-63.616672,South America,LATAM
R0044,Bahía Blanca,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0045,Salta,Salta,Argentina,-38.416097,-63.616672,South America,LATAM
R0046,Esquina,Corrientes,Argentina,-38.416097,-63.616672,South America,LATAM
R0047,Rosario,Santa Fe,Argentina,-38.416097,-63.616672,South America,LATAM
R0048,San Nicolás de los Arroyos,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0049,La Plata,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0050,Paraná,Entre Ríos,Argentina,-38.416097,-63.616672,South America,LATAM
R0051,Posadas,Misiones,Argentina,-38.416097,-63.616672,South America,LATAM
R0052,Córdoba,Córdoba,Argentina,-38.416097,-63.616672,South America,LATAM
R0053,Neuquén,Neuquén,Argentina,-38.416097,-63.616672,South America,LATAM
R0054,Santa Fe,Santa Fe,Argentina,-38.416097,-63.616672,South America,LATAM
R0055,San Salvador de Jujuy,Jujuy,Argentina,-38.416097,-63.616672,South America,LATAM
R0056,Necochea,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0057,Santiago del Estero,Santiago del Estero,Argentina,-38.416097,-63.616672,South America,LATAM
R0058,San Juan,San Juan,Argentina,-38.416097,-63.616672,South America,LATAM
R0059,Santa Rosa,La Pampa,Argentina,-38.416097,-63.616672,South America,LATAM
R0060,Comodoro Rivadavia,Chubut,Argentina,-38.416097,-63.616672,South America,LATAM
R0061,Presidencia Roque Sáenz Peña,Chaco,Argentina,-38.416097,-63.616672,South America,LATAM
R0062,Tartagal,Salta,Argentina,-38.416097,-63.616672,South America,LATAM
R0063,San Fernando del Valle de Catamarca,Catamarca,Argentina,-38.416097,-63.616672,South America,LATAM
R0064,Corrientes,Corrientes,Argentina,-38.416097,-63.616672,South America,LATAM
R0065,San Luis,San Luis,Argentina,-38.416097,-63.616672,South America,LATAM
R0066,La Rioja,La Rioja,Argentina,-38.416097,-63.616672,South America,LATAM
R0067,Concepción del Uruguay,Entre Ríos,Argentina,-38.416097,-63.616672,South America,LATAM
R0068,Cipolletti,Río Negro,Argentina,-38.416097,-63.616672,South America,LATAM
R0069,Junín,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0070,Quilmes,Provincia de Buenos Aires,Argentina,-38.416097,-63.616672,South America,LATAM
R0071,San Rafael,Mendoza,Argentina,-38.416097,-63.616672,South America,LATAM
R0072,Vanadzor,Lori,Armenia,40.069099,45.038189,Western Asia,Asia Pacific
R0073,Sydney,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0074,Newcastle,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0075,Orange,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0076,Hobart,Tasmania,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0077,Perth,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0078,Geraldton,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0079,Melbourne,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0080,Brisbane,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0081,Wollongong,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0082,Darwin,Northern Territory,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0083,Caloundra,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0084,Melton,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0085,Geelong,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0086,Rockhampton,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0087,Bendigo,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0088,Mandurah,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0089,Forster,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0090,Burnie,Tasmania,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0091,Queanbeyan,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0092,Traralgon,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0093,Bundaberg,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0094,Gold Coast,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0095,Ballarat,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0096,Whyalla,South Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0097,Canberra,Australian Capital Territory,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0098,Sunbury,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0099,Devonport,Tasmania,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0100,Wagga Wagga,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0101,Armidale,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0102,Toowoomba,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0103,Launceston,Tasmania,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0104,Gawler,South Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0105,Albany,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0106,Mackay,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0107,Bunbury,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0108,Alice Springs,Northern Territory,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0109,Murray Bridge,South Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0110,Nowra,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0111,Cairns,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0112,Gladstone,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0113,Torquay,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0114,Mildura,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0115,Adelaide,South Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0116,Coffs Harbour,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0117,Lismore,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0118,Townsville,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0119,Katoomba,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0120,Tamworth,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0121,Cessnock,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0122,Port Macquarie,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0123,Mount Gambier,South Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0124,Griffith,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0125,Albury,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0126,Palmerston,Northern Territory,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0127,Goulburn,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0128,Wodonga,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0129,Dubbo,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0130,Kwinana,Western Australia,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0131,Broken Hill,New South Wales,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0132,Echuca,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0133,Warrnambool,Victoria,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0134,Mount Isa,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0135,Maryborough,Queensland,Australia,-25.274398,133.775136,Oceania,Asia Pacific
R0136,Vienna,Vienna,Austria,47.516231,14.550072,Western Europe,Europe
R0137,Innsbruck,Tyrol,Austria,47.516231,14.550072,Western Europe,Europe
R0138,Wels,Upper Austria,Austria,47.516231,14.550072,Western Europe,Europe
R0139,Villach,Carinthia,Austria,47.516231,14.550072,Western Europe,Europe
R0140,Leoben,Styria,Austria,47.516231,14.550072,Western Europe,Europe
R0141,Graz,Styria,Austria,47.516231,14.550072,Western Europe,Europe
R0142,Linz,Upper Austria,Austria,47.516231,14.550072,Western Europe,Europe
R0143,Salzburg,Salzburg,Austria,47.516231,14.550072,Western Europe,Europe
R0144,Klagenfurt,Carinthia,Austria,47.516231,14.550072,Western Europe,Europe
R0145,Baku,Baki,Azerbaijan,40.143105,47.576927,Western Asia,Asia Pacific
R0146,Al Muharraq,Muharraq,Bahrain,25.930414,50.637772,Western Asia,Asia Pacific
R0147,Dhaka,Dhaka,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0148,Khulna,Khulna,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0149,Cox’s Bāzār,Chittagong,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0150,Sylhet,Sylhet,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0151,Chittagong,Chittagong,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0152,Tongi,Dhaka,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0153,Narsingdi,Dhaka,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0154,Rajshahi,Rajshahi,Bangladesh,23.684994,90.356331,Southern Asia,Asia Pacific
R0155,Bridgetown,Saint Michael,Barbados,13.193887,-59.543198,Caribbean,LATAM
R0156,Homyel',Homyel',Belarus,53.709807,27.953389,Eastern Europe,Europe
R0157,Brest,Brest,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0158,Hrodna,Hrodna,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0159,Lida,Hrodna,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0160,Mazyr,Homyel',Belarus,53.709807,27.953389,Eastern Europe,Europe
R0161,Pinsk,Brest,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0162,Zhlobin,Homyel',Belarus,53.709807,27.953389,Eastern Europe,Europe
R0163,Polatsk,Vitsyebsk,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0164,Orsha,Vitsyebsk,Belarus,53.709807,27.953389,Eastern Europe,Europe
R0165,Mechelen,Antwerp,Belgium,50.503887,4.469936,Western Europe,Europe
R0166,Charleroi,Hainaut,Belgium,50.503887,4.469936,Western Europe,Europe
R0167,Aalst,East Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0168,Antwerp,Antwerp,Belgium,50.503887,4.469936,Western Europe,Europe
R0169,Ghent,East Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0170,Brussels,Brussels,Belgium,50.503887,4.469936,Western Europe,Europe
R0171,Tournai,Hainaut,Belgium,50.503887,4.469936,Western Europe,Europe
R0172,Bruges,West Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0173,Hasselt,Limburg,Belgium,50.503887,4.469936,Western Europe,Europe
R0174,Namur,Namur,Belgium,50.503887,4.469936,Western Europe,Europe
R0175,Roeselare,West Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0176,Genk,Limburg,Belgium,50.503887,4.469936,Western Europe,Europe
R0177,Leuven,Flemish Brabant,Belgium,50.503887,4.469936,Western Europe,Europe
R0178,Hamme,East Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0179,Peer,Limburg,Belgium,50.503887,4.469936,Western Europe,Europe
R0180,Seraing,Liège,Belgium,50.503887,4.469936,Western Europe,Europe
R0181,Mouscron,Hainaut,Belgium,50.503887,4.469936,Western Europe,Europe
R0182,Verviers,Liège,Belgium,50.503887,4.469936,Western Europe,Europe
R0183,Kortrijk,West Flanders,Belgium,50.503887,4.469936,Western Europe,Europe
R0184,San Ignacio,Cayo District,Belize,17.189877,-88.49765,Central America,LATAM
R0185,Lokossa,Mono,Benin,9.30769,2.315834,Western Africa,Africa
R0186,Ouidah,Atlantique,Benin,9.30769,2.315834,Western Africa,Africa
R0187,Djougou,Donga,Benin,9.30769,2.315834,Western Africa,Africa
R0188,Cotonou,Littoral,Benin,9.30769,2.315834,Western Africa,Africa
R0189,Kandi,Alibori,Benin,9.30769,2.315834,Western Africa,Africa
R0190,Parakou,Borgou,Benin,9.30769,2.315834,Western Africa,Africa
R0191,Natitingou,Atakora,Benin,9.30769,2.315834,Western Africa,Africa
R0192,Porto-Novo,Ouémé,Benin,9.30769,2.315834,Western Africa,Africa
R0193,Phuntsholing,Chukha,Bhutan,27.514162,90.433601,Southern Asia,Asia Pacific
R0194,Trinidad,Beni,Bolivia,-16.290154,-63.588653,South America,LATAM
R0195,Potosí,Potosí,Bolivia,-16.290154,-63.588653,South America,LATAM
R0196,Cochabamba,Cochabamba,Bolivia,-16.290154,-63.588653,South America,LATAM
R0197,Santa Cruz de la Sierra,Santa Cruz,Bolivia,-16.290154,-63.588653,South America,LATAM
R0198,Riberalta,Beni,Bolivia,-16.290154,-63.588653,South America,LATAM
R0199,La Paz,La Paz,Bolivia,-16.290154,-63.588653,South America,LATAM
R0200,Sucre,Chuquisaca,Bolivia,-16.290154,-63.588653,South America,LATAM
R0201,Oruro,Oruro,Bolivia,-16.290154,-63.588653,South America,LATAM
R0202,Yacuiba,Tarija,Bolivia,-16.290154,-63.588653,South America,LATAM
R0203,Sarajevo,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,43.915886,17.679076,Southern Europe,Europe
R0204,Tuzla,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,43.915886,17.679076,Southern Europe,Europe
R0205,Zenica,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,43.915886,17.679076,Southern Europe,Europe
R0206,Gaborone,South-East,Botswana,-22.328474,24.684866,Southern Africa,Africa
R0207,Pilar,Alagoas,Brazil,-14.235004,-51.92528,South America,LATAM
R0208,Limoeiro do Norte,Ceará,Brazil,-14.235004,-51.92528,South America,LATAM
R0209,Limeira,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0210,Goiânia,Goiás,Brazil,-14.235004,-51.92528,South America,LATAM
R0211,Altamira,Pará,Brazil,-14.235004,-51.92528,South America,LATAM
R0212,Recife,Pernambuco,Brazil,-14.235004,-51.92528,South America,LATAM
R0213,Teresina,Piauí,Brazil,-14.235004,-51.92528,South America,LATAM
R0214,São Luís,Maranhão,Brazil,-14.235004,-51.92528,South America,LATAM
R0215,Cotia,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0216,Blumenau,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0217,São Paulo,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0218,Brasília,Federal District,Brazil,-14.235004,-51.92528,South America,LATAM
R0219,Presidente Dutra,Maranhão,Brazil,-14.235004,-51.92528,South America,LATAM
R0220,Petrópolis,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0221,Curitiba,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0222,Indaial,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0223,Bezerros,Pernambuco,Brazil,-14.235004,-51.92528,South America,LATAM
R0224,Ponte Nova,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0225,Castanhal,Pará,Brazil,-14.235004,-51.92528,South America,LATAM
R0226,Santana de Parnaíba,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0227,Lajeado,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0228,Oriximiná,Pará,Brazil,-14.235004,-51.92528,South America,LATAM
R0229,Resende,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0230,Jundiaí,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0231,Santa Cruz do Sul,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0232,Betim,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0233,Belo Horizonte,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0234,Guaratinguetá,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0235,Manaus,Amazonas,Brazil,-14.235004,-51.92528,South America,LATAM
R0236,Fortaleza,Ceará,Brazil,-14.235004,-51.92528,South America,LATAM
R0237,Sorocaba,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0238,Salvador,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0239,Novo Gama,Goiás,Brazil,-14.235004,-51.92528,South America,LATAM
R0240,Vitória,Espírito Santo,Brazil,-14.235004,-51.92528,South America,LATAM
R0241,Guarulhos,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0242,Pontes e Lacerda,Mato Grosso,Brazil,-14.235004,-51.92528,South America,LATAM
R0243,Caçador,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0244,Tianguá,Ceará,Brazil,-14.235004,-51.92528,South America,LATAM
R0245,Boa Esperança,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0246,Maceió,Alagoas,Brazil,-14.235004,-51.92528,South America,LATAM
R0247,Itu,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0248,Araranguá,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0249,São Miguel dos Campos,Alagoas,Brazil,-14.235004,-51.92528,South America,LATAM
R0250,Brumado,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0251,Conselheiro Lafaiete,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0252,Barueri,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0253,Jequié,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0254,Vassouras,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0255,Criciúma,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0256,Taboão da Serra,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0257,Açu,Rio Grande do Norte,Brazil,-14.235004,-51.92528,South America,LATAM
R0258,João Pessoa,Paraíba,Brazil,-14.235004,-51.92528,South America,LATAM
R0259,Sapucaia do Sul,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0260,Americana,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0261,Maringá,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0262,Pouso Alegre,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0263,Guanambi,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0264,Caucaia,Ceará,Brazil,-14.235004,-51.92528,South America,LATAM
R0265,Barreirinhas,Maranhão,Brazil,-14.235004,-51.92528,South America,LATAM
R0266,Linhares,Espírito Santo,Brazil,-14.235004,-51.92528,South America,LATAM
R0267,Araguaína,Tocantins,Brazil,-14.235004,-51.92528,South America,LATAM
R0268,Jacobina,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0269,Itajaí,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0270,Barretos,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0271,Porto Alegre,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0272,São Gonçalo,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0273,Bom Jesus da Lapa,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0274,Bagé,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0275,Feira de Santana,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0276,Bragança Paulista,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0277,Juiz de Fora,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0278,Diadema,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0279,Itaúna,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0280,Itapeva,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0281,Guarujá,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0282,Valinhos,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0283,Londrina,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0284,Eunápolis,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0285,Ananindeua,Pará,Brazil,-14.235004,-51.92528,South America,LATAM
R0286,Quixadá,Ceará,Brazil,-14.235004,-51.92528,South America,LATAM
R0287,Vespasiano,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0288,Colombo,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0289,Camaçari,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0290,Santarém,Pará,Brazil,-14.235004,-51.92528,South America,LATAM
R0291,São Pedro da Aldeia,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0292,Ribeirão Preto,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0293,São Bernardo do Campo,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0294,Itapecuru Mirim,Maranhão,Brazil,-14.235004,-51.92528,South America,LATAM
R0295,Águas Lindas de Goiás,Goiás,Brazil,-14.235004,-51.92528,South America,LATAM
R0296,Uruguaiana,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0297,Vacaria,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0298,Barra Mansa,Rio de Janeiro,Brazil,-14.235004,-51.92528,South America,LATAM
R0299,Itapevi,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0300,Taubaté,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0301,Gurupi,Tocantins,Brazil,-14.235004,-51.92528,South America,LATAM
R0302,Uberaba,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0303,Caxias do Sul,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0304,Balneário Camboriú,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0305,Campo Grande,Mato Grosso do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0306,Santo André,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0307,Canoas,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0308,Cabo de Santo Agostinho,Pernambuco,Brazil,-14.235004,-51.92528,South America,LATAM
R0309,Lorena,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
R0310,Garanhuns,Pernambuco,Brazil,-14.235004,-51.92528,South America,LATAM
R0311,Ibirité,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0312,Farroupilha,Rio Grande do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0313,Poços de Caldas,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0314,Mossoró,Rio Grande do Norte,Brazil,-14.235004,-51.92528,South America,LATAM
R0315,Montes Claros,Minas Gerais,Brazil,-14.235004,-51.92528,South America,LATAM
R0316,Gaspar,Santa Catarina,Brazil,-14.235004,-51.92528,South America,LATAM
R0317,Surubim,Pernambuco,Brazil,-14.235004,-51.92528,South America,LATAM
R0318,Francisco Beltrão,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0319,Arapongas,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0320,Aracaju,Sergipe,Brazil,-14.235004,-51.92528,South America,LATAM
R0321,Juazeiro,Bahia,Brazil,-14.235004,-51.92528,South America,LATAM
R0322,Boa Vista,Roraima,Brazil,-14.235004,-51.92528,South America,LATAM
R0323,Pato Branco,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0324,Paranaguá,Parana,Brazil,-14.235004,-51.92528,South America,LATAM
R0325,Dourados,Mato Grosso do Sul,Brazil,-14.235004,-51.92528,South America,LATAM
R0326,Pindamonhangaba,São Paulo,Brazil,-14.235004,-51.92528,South America,LATAM
